title	description	topic	signum
Wrongful death suit filed against top NBA pick Brandon Miller	The mother of a woman killed near the University of Alabama in January has filed a wrongful death lawsuit in federal court against Charlotte Hornets rookie Brandon Miller and two other men.		
Nolte: Taylor Swift Humiliates Hollywood Again -- Trounces Leo’s ‘Flower Moon’	"Nolte: ""Taylor Swift: The Eras Tour"" grossed another $32 million, humiliating Leonardo Di Caprio’s ""Killers of the Flower Moon,"" which debuted to just $22 million."		
'Funflation': Most Americans Cutting Back on Amusement Parks, Live Entertainment as Prices Soar Under Biden	Nearly 60 percent of Americans are cutting back on spending on live entertainment -- including amusement parks, rock concerts, and the performing arts -- as prices continue to soar through the roof, according to a new survey of 1,000 individuals conducted by …		
Gwyneth Paltrow intends to 'literally disappear'; Taylor Swift 'protected and cherished' by Travis Kelce	The Fox News Entertainment newsletter brings you the latest Hollywood headlines, celebrity interviews and stories from Los Angeles and beyond.		
Ben Simmons has his health and old job back. Now Nets need to see his old game	Reinstalled as point guard, Ben Simmons has been moving quickly and decisively again in the preseason after playing just 42 games the last two seasons. It gives the Nets hope.		
Chiefs’ Travis Kelce loses 'friendly wager,' dons Iowa State mascot headgear: 'Go Cyclones'	"Kansas City Chiefs All-Pro tight end Travis Kelce attended his Friday press conference wearing the headgear of the Iowa State mascot after losing a ""friendly wager"""		
Boomers were right! 5 things about adulting no one wants you to know	Every generation thinks it's cornered the market on brains, but you have to know what to do with them. Which is why wisdom matter. So let me offer some.		
A movie theater staffer describes what it was like to work Taylor Swift's Eras Tour film premiere, which was so loud it blew out 2 amps	Taylor Swift's Eras Tour film was so loud it blew the sound system in one theater.		
Taylor Swift and Travis Kelce, Gwen Stefani and Blake Shelton bring the romance: PHOTOS	"Taylor Swift and Travis Kelce were spotted together at a ""Saturday Night Live"" after-party, and Blake Shelton supported Gwen Stefani at her Hollywood Walk of Fame ceremony."		
Sixers will start regular season without James Harden 'unless something changes'	The Philadelphia 76ers finished their entire preseason schedule without James Harden playing for them.		
Despite three red-zone fumbles, Falcons still beat Bucs to grab first place	Both teams struggled near the goal line, but Atlanta hit a field goal as time expired to beat the Bucs and move into first place in the NFC South.		
Taylor Swift sports Travis Kelce's football jersey number on friendship bracelet at Chiefs game	Taylor Swift showed NFL fans how to support a player by wearing Travis Kelce's football jersey number on a friendship bracelet while watching Chiefs game.		
Travis Kelce's big day with Taylor Swift in attendance helps Chiefs to huge win over Chargers	Travis Kelce had a dominant performance with his rumored girlfriend, Taylor Swift, in the building during the Kansas City Chiefs' big win on Sunday.		
11 photos of Taylor Swift going through all the emotions watching Travis Kelce at the Chiefs game	Waving to fans, celebrating and more for Taylor Swift in her return to Arrowhead Stadium.		
Browns edge Myles Garrett dominates in win over Colts: 'Man, 95 is a problem'	Myles Garrett's Sunday: nine tackles, two sacks, two forced fumbles, a pass breakup and a blocked field goal. Oh, and the Browns won 39-38.		
Taylor Swift, Brittany Mahomes show off new handshakes amid monster half for Patrick Mahomes, Travis Kelce	Taylor Swift and Brittany Mahomes, the wife of star quarterback Patrick Mahomes, showcased their new touchdown handshake as their budding friendship continues.		
NFL Week 7 top viral moments: LeBron James, Taylor Swift celebrate National Tight Ends Day	There was plenty to buzz about on social media during an action-packed NFL slate. Check out the moments that had the internet talking here!		
Taylor Swift returns to Arrowhead stadium to cheer on Travis Kelce	This is the fifth time Swift has been seen cheering on Kansas Chiefs tight end Travis Kelce and the defending Super Bowl champions.		
Jay Glazer: Cardinals want to build around Kyler Murray, not trade him	"NFL insider Jay Glazer joined David Helman to discuss Kyler Murray trade rumors on another segment of ""Ask Glazer"" on the ""NFL on FOX Pod"""		
'Taylor Swift: The Eras Tour' tops domestic box office for 2nd week	'Killers of the Flower Moon' eclipsed by 'Taylor Swift: The Eras Tour' domestically, but debuts at No. 1 globally.		
Video: Taylor Swift, Brittany Mahomes Celebrate With Handshake at Chargers vs. Chiefs	Kansas City Chiefs wide receiver Marquez Valdes-Scantling wasn't the only one excited to see Patrick Mahomes throw his first deep touchdown pass of the season…		
CBS actually broke out a hilarious graphic about Travis Kelce's stats with Taylor Swift in attendance	Incredible work. No notes.		
NFL Week 7 top viral moments: LeBron James loves big days from Myles Garrett, Lamar Jackson	There was plenty to buzz about on social media during an action-packed NFL slate. Check out the moments that had the internet talking here!		
Browns' PJ Walker leads controversial game-winning drive to defeat Colts on the road	Cleveland Browns quarterback P.J. Walker, playing for the injured Deshaun Watson, led a controversial game-winning drive over the Indianapolis Colts on Sunday.		
Taylor Swift sports new friendship bracelet with beau Travis Kelce’s jersey number on it at Chiefs game	This is basically the 2023 version of wearing a letter jacket, right?		
Taylor Swift and Brittany Mahomes shared a silly pregame dance in the duo’s return to KC	Taylor Swift and Brittany Mahomes had some adorable fun in their return to Arrowhead Stadium.		
Taylor Swift spotted at Chiefs-Chargers game at Arrowhead Stadium	Taylor Swift has touched down in Kansas City to attend the Chiefs' home game against the Chargers.		
